Sub Classification,Brand,Dosage Form,Unit of Measure ,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight ,Freight Cost
65,71,84,60,2800,7224,2.58,0.04,161,5491.01
80,71,79,240,390,819,2.1,0.01,140,2503.33
65,71,84,60,29998,247783.48,8.26,0.14,3274,21881.71
80,71,67,30,1428,3198.72,2.24,0.07,1055,11490.2
65,71,84,60,125202,1404766.44,11.22,0.19,34813,14716.83
65,71,84,30,62611,1247211.12,19.92,0.66,7190,13398.06
65,71,84,60,5125,77080,15.04,0.25,523,3949.19
65,71,84,60,20833,233746.26,11.22,0.19,2757,18317.11
65,71,84,30,49425,208573.5,4.22,0.14,4235,29352.17
65,71,84,60,38000,589000,15.5,0.26,10847,15973.89
65,71,84,60,25312,216417.6,8.55,0.14,4988,7960.74
80,71,79,240,8768,18412.8,2.1,0.01,10030,96669.4
65,71,84,60,55800,140058,2.51,0.04,5598,11154.87
80,71,79,240,2350,4935,2.1,0.01,904,573.43
80,71,67,100,2256,10738.56,4.76,0.05,172,3296.34
65,71,84,30,6678,133025.76,19.92,0.66,2244,3296.34
80,71,67,30,500,1120,2.24,0.07,30,1309.03
80,71,67,30,700,1568,2.24,0.07,46,1274.98
65,71,84,60,9493,52781.08,5.56,0.09,1021,5216.63
65,71,84,60,75507,406227.66,5.38,0.09,8578,5216.63
65,71,84,60,4226,34906.76,8.26,0.14,8,10891.66
80,71,79,240,1470,18375,12.5,0.05,9635,95269.39
80,71,67,30,24747,55433.28,2.24,0.07,1437,1698.83
65,65,84,120,17030,574592.2,33.74,0.28,3508,1698.83
65,71,84,120,3679,123614.4,33.6,0.28,932,1698.83
80,71,79,240,4013,7825.35,1.95,0.01,1487,5447.21
65,71,84,60,84000,924000,11,0.18,11160,87294.56
65,71,84,60,96018,223721.94,2.33,0.04,4271,3825.8
80,71,79,240,41737,81387.15,1.95,0.01,15160,12405.54
65,71,84,60,185875,2085517.5,11.22,0.19,26760,12405.54
65,71,84,30,131280,2196314.4,16.73,0.56,15032,3279.25
80,71,84,60,15,44.85,2.99,0.05,5256,9506
65,71,84,30,192,1056,5.5,0.18,20,870.96
65,71,84,60,5924,14869.24,2.51,0.04,1421,4322.6
65,71,84,60,117749,1321143.78,11.22,0.19,28088,19652.22
80,71,68,30,1825,20075,11,0.37,119,3159.12
80,71,68,30,1235,13585,11,0.37,649,1191.02
65,71,84,60,48821,547771.62,11.22,0.19,6949,27441.22
65,65,84,120,500,15410,30.82,0.26,709,761.91
65,71,84,30,847,4692.38,5.54,0.18,85,1857.04
65,71,84,30,13743,110493.72,8.04,0.27,1340,17090
65,71,84,60,116254,1196253.66,10.29,0.17,14964,17090
65,71,84,30,1685,9267.5,5.5,0.18,137,1834.79
65,71,84,60,100156,244380.64,2.44,0.04,10687,21347.12
65,71,84,60,74288,577960.64,7.78,0.13,7351,21347.12
65,71,84,60,99999,243997.56,2.44,0.04,13437,21347.12
80,71,67,90,1480,12224.8,8.26,0.09,187,2109.22
65,71,84,30,13373,52288.43,3.91,0.13,816,7964.24
65,71,84,30,23000,89930,3.91,0.13,1403,9800
72,68,84,100,725,58000,80,0.8,225,1482.7
65,71,84,60,159964,1569246.84,9.81,0.16,37944,16532.5
65,71,84,30,20000,110800,5.54,0.18,8996,43098.9
65,71,84,120,5000,148400,29.68,0.25,1199,7070
65,71,84,30,54392,207233.52,3.81,0.13,4883,16898.58
65,71,84,60,1048,8384,8,0.13,4809,18461.23
65,71,84,60,6849,90064.35,13.15,0.22,880,13841.89
65,71,84,30,66160,258685.6,3.91,0.13,5641,2175.07
80,71,67,90,52,429.52,8.26,0.09,38,4718.3
65,71,84,60,1224,9449.28,7.72,0.13,3637,25634.47
65,71,84,30,25000,134000,5.36,0.18,5897,18461.22
65,71,84,30,107489,1616634.56,15.04,0.5,13193,18461.22
65,71,84,30,100000,1369000,13.69,0.46,10442,11520.85
65,71,84,120,3524,87254.24,24.76,0.21,3264,14368.65
80,71,79,240,1944,3596.4,1.85,0.01,682,8118.08
65,71,84,30,4917,31370.46,6.38,0.21,1283,12862.56
65,71,84,30,15027,91213.89,6.07,0.2,1248,4529.5
65,71,84,30,5760,80409.6,13.96,0.47,610,6585.03
65,71,84,60,8834,19964.84,2.26,0.04,1600,8699.8
65,71,84,30,131520,618144,4.7,0.16,19248,14451.69
65,71,84,30,29506,138678.2,4.7,0.16,3133,14451.69
65,71,84,60,21300,182754,8.58,0.14,13288,14451.69
65,71,84,60,8778,75315.24,8.58,0.14,22043,41802.56
65,71,84,30,43563,145064.79,3.33,0.11,4122,28602.94
65,71,84,60,4136,9347.36,2.26,0.04,394,8600
65,71,84,60,3200,7232,2.26,0.04,1230,8281.7
65,71,84,60,11490,25967.4,2.26,0.04,722,3483.79
65,71,84,60,180,2332.8,12.96,0.22,123,1501.4
65,71,84,60,40520,91575.2,2.26,0.04,20226,21173.75
65,71,84,60,75000,525000,7,0.12,7515,14547.55
65,71,84,30,3400,47464,13.96,0.47,315,1981.6
65,71,84,30,238606,2510135.12,10.52,0.35,31473,24816.73
80,71,84,60,955,4393,4.6,0.08,104,20666.07
65,71,84,30,26112,122726.4,4.7,0.16,2444,8800.81
65,71,84,60,73690,632260.2,8.58,0.14,9886,44300.9
65,71,84,120,213,4639.14,21.78,0.18,928,4323.44
65,71,84,60,54728,383096,7,0.12,14143,100654.61
65,71,84,30,34385,161609.5,4.7,0.16,11594,85414.3
80,71,84,90,338,2467.4,7.3,0.08,25,759.79
65,71,84,30,26000,152620,5.87,0.2,3888,8057.19
65,71,84,30,4403,20694.1,4.7,0.16,703,4234.12
65,71,84,30,67426,829339.8,12.3,0.41,7596,3567.19
65,71,84,30,1000,4040,4.04,0.13,63,569
65,71,84,60,16837,117859,7,0.12,1353,13924.23
80,71,84,60,25836,55547.4,2.15,0.04,5467,3567.2
65,71,84,60,251047,2153983.26,8.58,0.14,36448,34218.36
65,71,84,60,54470,120378.7,2.21,0.04,3360,9527.17
